2277;664
2233;632
2055;598
1851;574
1807;561
1831;500
1790;403
1889;373
2052;417
2146;419
2331;477
2266;519
2302;439
2290;469
2429;498
2533;490
2542;561
2565;554
2683;573
2745;635
2773;722
2631;767
2610;786
2635;793
2397;791
2304;740
2259;577
2222;503
2230;683
2225;607
2144;451
2195;563
2160;592
2301;594
2266;630
2323;675
2416;726
2533;756
2607;750
2644;734
2594;743
2459;759
2353;783
2153;785
2209;774
2254;718
2384;704
2536;703
2542;703
2465;676
2326;708
2225;713
2119;724
2001;708
1831;735
1625;745
1466;767
1334;752
1526;798
1659;795
1671;785
1699;764
1671;741
1723;697
1868;641
2118;576
2311;491
2387;402
2456;307
2508;235
2383;178
2191;134
2026;93
1966;46
1941;32
1882;41
1649;63
1416;78
1289;83
1160;121
1014;176
891;254
882;333
791;344
732;309
694;279
646;307
684;267
638;229
597;221
694;164
845;133
929;103
921;105
1071;65
1227;52
1304;61
1376;66
1419;62
1510;98
1709;71
1957;67
2159;80
2355;76
2499;65
2685;66
2810;87
2840;121
2838;123
2781;122
2697;168
2594;261
2560;289
2558;322
2622;442
2569;613
2461;745
2343;753
2131;717
1952;645
1710;603
1655;518
1562;484
1443;507
1352;482
1273;466
1129;453
1069;445
1034;434
1012;385
932;300
753;288
561;316
434;313
357;260
327;235
264;212
250;220
204;242
165;233
143;180
126;134
81;108
64;90
44;84
30;65
22;67
24;67
21;67
23;62
35;60
39;51
35;37
24;26
21;22
19;15
39;12
62;16
84;18
78;16
87;14
126;20
126;22
105;22
69;14
58;9
75;7
77;7
82;13
95;15
104;9
77;8
71;6
92;6
144;7
176;12
224;20
321;36
384;33
424;30
521;27
575;24
628;20
622;20
574;22
499;24
444;29
532;32
656;35
676;36
689;32
717;39
818;35
1026;38
1099;43
1112;38
1210;41
1223;42
1160;40
1089;44
1054;46
958;53
846;63
836;74
911;85
856;73
950;72
1051;74
1134;54
1250;47
1347;41
1353;37
1414;35
1414;36
1528;39
1703;50
1833;63
1893;69
1825;66
1812;56
1770;52
1869;60
2005;69
2050;96
2098;128
2158;140
2274;141
2235;152
2268;170
2310;172
2245;173
2242;164
2256;169
2218;190
2242;207
2239;234
2180;259
2145;283
2110;308
2077;310
1999;328
1859;277
1753;248
1650;228
1666;229
1751;259
1825;281
1760;294
1660;262
1522;190
1407;175
1303;129
1243;112
1120;97
957;90
952;74
1044;70
1091;67
1159;66
1235;65
1282;89
1376;82
1404;68
1321;52
1182;47
1230;43
1210;33
1286;33
1378;51
1444;76
1609;101
1805;119
1923;121
1960;137
2009;170
2153;202
2277;249
2431;265
2490;334
2595;402
2845;422
2664;604
2761;674
3157;713
3168;727
3208;719
3238;714
3267;706
3303;717
3364;731
3378;735
3409;729
3306;765
3274;756
3169;768
3065;766
3044;758
3091;765
3160;768
3240;767
3358;767
3415;762
3360;765
3271;752
3153;737
3102;752
3171;764
3185;760
3213;763
3248;759
3242;753
3166;752
3049;746
3092;714
2859;659
2635;620
2412;631
2297;626
2024;631
1749;603
1649;515
1635;549
1589;504
1586;515
1411;530
1180;465
1142;378
978;291
973;238
852;236
796;238
783;231
852;247
816;206
919;172
1087;134
1099;145
1008;142
901;121
862;113
878;99
888;91
1006;87
1113;94
1106;109
1066;108
1064;91
1068;70
1003;42
953;24
818;26
753;25
786;35
854;47
940;48
1048;50
1030;53
1057;69
1317;93
1806;130
2150;130
2303;127
2224;150
2007;172
2155;205
2576;267
2906;343
3070;441
3229;556
3275;556
3271;582
3299;554
3340;556
3209;563
3219;610
3318;633
3316;690
3384;695
3470;681
3471;710
3449;740
3422;758
3321;765
3124;750
3066;742
3027;731
2978;714
2906;712
2710;694
2637;676
2366;651
1960;584
1608;532
1528;460
1426;398
1299;298
1258;297
1260;305
1383;424
1516;465
1514;412
1467;404
1597;390
1747;425
1925;420
1910;434
1931;511
1850;596
1895;615
1824;668
1554;697
1293;681
1099;676
941;630
887;587
758;540
683;503
578;467
441;424
369;311
315;284
247;239
157;173
111;98
92;79
45;79
18;71
19;42
39;27
47;25
25;16
23;16
24;12
33;9
37;8
46;9
83;10
148;8
219;7
282;7
366;8
436;9
504;8
575;9
653;12
739;14
818;16
867;18
873;31
861;41
963;49
1063;71
1159;114
1298;153
1498;167
1516;167
1462;160
1371;135
1321;126
1185;105
1071;92
1044;83
1017;103
991;127
895;159
770;186
690;182
584;165
453;162
378;141
354;107
258;93
188;80
182;67
164;58
140;49
100;34
105;26
105;16
121;12
125;14
143;14
165;14
183;13
245;13
332;14
407;19
483;22
570;24
658;30
730;42
743;44
729;60
712;56
719;67
711;61
658;76
616;98
692;113
665;139
659;123
663;95
587;102
475;139
394;148
352;165
346;151
291;164
267;187
249;181
249;154
177;133
113;95
72;71
90;52
88;33
43;19
47;14
49;11
53;7
70;13
88;15
87;10
101;7
118;7
83;8
97;8
157;8
