,24.81,32.645,26.066,6.1207,14.402,27.265,26.566,39.292,0.21752,11.116,29.906,34.113,9.5255
,25.203,33.266,26.393,6.2659,14.635,27.435,26.818,39.882,0.21827,11.162,30.505,34.683,9.8636
,27.275,35.092,27.769,7.225,15.631,29.861,29.076,42.853,0.21715,12.151,33.05,37.017,10.889
,33.684,41.546,31.496,8.868,18.907,37.364,35.86,51.053,0.21736,15.309,41,44.793,12.859
,42.972,52.851,37.844,11.293,22.185,44.741,44.423,64.101,0.21283,18.237,53.117,57.168,15.18
,46.64,60.975,43.37,13.882,21.205,44.393,46.531,73.052,1.7022,14.046,59.134,64.232,17.715
,44.519,58.528,43.461,15.432,15.363,37.689,41.446,70.513,5.7154,5.531,53.609,60.16,19.454
,42.104,55.947,42.175,15.086,12.505,33.427,37.57,67.131,6.0977,2.1109,48.811,55.465,19.876
,40.457,55.617,41.454,14.386,10.641,31.082,34.424,65.068,5.6413,4.7859,47.198,51.603,19.823
,38.82,55.19,40.314,13.854,9.5199,30.415,32.489,63.755,4.9879,4.513,44.454,48.834,19.831
,38.396,53.538,39.642,14.03,18.043,31.048,32.48,63.04,4.7211,4.6532,42.882,47.799,19.701
,39.414,53.017,39.248,14.15,17.947,34.488,33.029,62.761,4.6032,5.1875,41.645,46.961,19.863
,39.227,51.144,38.67,13.566,15.677,33.926,33.692,61.271,4.7343,3.566,41.745,48.425,19.198
,42.257,53.427,39.774,12.92,17.974,38.364,38.718,62.535,1.7926,9.9777,45.929,52.787,18.741
,47.054,58.301,41.434,11.421,22.205,47.08,47.198,66.805,0.20335,18.762,56.267,60.147,17.394
,52.124,63.054,42.568,9.2687,25.045,57.311,57.355,70.771,0.21387,23.581,65.415,66.177,14.798
,50.962,61.068,40.498,8.1578,25.066,58.745,58.365,68.26,0.21596,23.922,65.506,64.848,13.066
,48.053,57.073,38.608,7.3851,23.709,55.389,55.188,63.898,0.21502,22.384,60.934,60.686,12.001
,44.325,53.287,36.377,6.9514,22.538,50.76,50.939,59.199,0.21695,20.392,55.297,56.177,11.351
,40.065,49.1,34.071,6.6908,21.718,44.955,46.483,53.999,0.21501,18.837,50.285,51.338,10.941
